Frequency (Hz)	Level (dB)
2635.125732	-80.774620
2637.817383	-77.432014
2640.509033	-74.900749
2643.200684	-73.644142
2645.892334	-77.843826
2648.583984	-73.129501
2651.275635	-73.808052
2653.967285	-76.700356
2656.658936	-80.277367
2659.350586	-74.790459
2662.042236	-79.709251
2664.733887	-79.949081
2667.425537	-76.723778
2670.117188	-77.314949
2672.808838	-77.536652
2675.500488	-76.769684
2678.192139	-78.353882
2680.883789	-75.440315
2683.575439	-78.511650
2686.267090	-80.575691
2688.958740	-84.032928
2691.650391	-81.701393
2694.342041	-78.413765
2697.033691	-75.013618
2699.725342	-77.108864
2702.416992	-83.102600
2705.108643	-82.453339
2707.800293	-80.892174
2710.491943	-82.944702
2713.183594	-83.175926
2715.875244	-84.019386
2718.566895	-84.910240
2721.258545	-80.613754
2723.950195	-83.669785
2726.641846	-85.689163
2729.333496	-79.128685
2732.025146	-80.586258
2734.716797	-83.556343
2737.408447	-82.185097
2740.100098	-83.031021
2742.791748	-80.996735
2745.483398	-81.708275
2748.175049	-79.201653
2750.866699	-78.158897
2753.558350	-78.815041
2756.250000	-78.978958
2758.941650	-77.175194
2761.633301	-76.154976
2764.324951	-77.625778
2767.016602	-82.416580
2769.708252	-81.746613
2772.399902	-77.494247
2775.091553	-77.317177
2777.783203	-77.205177
2780.474854	-78.367538
2783.166504	-81.557205
2785.858154	-80.885353
2788.549805	-83.823524
2791.241455	-87.190880
2793.933105	-87.393578
2796.624756	-85.504005
2799.316406	-78.720284
2802.008057	-79.222366
2804.699707	-79.208763
2807.391357	-81.977417
2810.083008	-78.981087
2812.774658	-76.908516
2815.466309	-76.496605
2818.157959	-73.722649
2820.849609	-76.043121
2823.541260	-75.821541
2826.232910	-73.239525
2828.924561	-76.003807
2831.616211	-87.206696
2834.307861	-77.427246
2836.999512	-77.714607
2839.691162	-82.535202
2842.382812	-81.342628
2845.074463	-85.948311
2847.766113	-88.487366
2850.457764	-89.265671
2853.149414	-85.532974
2855.841064	-84.182205
2858.532715	-87.687057
2861.224365	-83.286659
2863.916016	-82.402328
2866.607666	-81.976646
2869.299316	-80.609161
2871.990967	-79.680840
2874.682617	-78.695801
2877.374268	-81.916267
2880.065918	-82.034157
2882.757568	-86.053612
2885.449219	-90.838692
2888.140869	-83.648544
2890.832520	-80.215347
2893.524170	-91.224892
2896.215820	-77.636703
2898.907471	-77.312386
2901.599121	-74.136848
2904.290771	-72.957542
2906.982422	-78.073364
2909.674072	-82.608284
2912.365723	-79.069496
2915.057373	-75.396530
2917.749023	-79.274063
2920.440674	-79.469063
2923.132324	-77.965942
2925.823975	-81.888481
2928.515625	-80.096092
2931.207275	-77.745903
2933.898926	-79.208649
2936.590576	-75.841812
2939.282227	-76.610855
2941.973877	-77.798698
2944.665527	-78.640396
2947.357178	-77.843391
2950.048828	-76.219452
2952.740479	-77.582031
2955.432129	-79.406273
2958.123779	-81.574219
2960.815430	-86.720375
2963.507080	-84.228722
2966.198730	-84.967796
2968.890381	-80.834862
2971.582031	-83.295151
2974.273682	-86.136292
2976.965332	-88.607506
2979.656982	-77.040031
2982.348633	-75.859924
2985.040283	-74.099838
2987.731934	-73.582756
2990.423584	-75.333855
2993.115234	-74.295883
2995.806885	-74.800079
2998.498535	-77.021255
3001.190186	-79.770790
3003.881836	-77.463051
3006.573486	-84.094772
3009.265137	-79.231415
3011.956787	-75.903557
3014.648438	-78.589577
3017.340088	-77.084328
3020.031738	-82.513565
3022.723389	-84.026520
3025.415039	-80.992188
3028.106689	-81.219643
3030.798340	-79.123528
3033.489990	-77.379364
3036.181641	-81.472755
3038.873291	-79.209557
3041.564941	-74.572891
3044.256592	-74.835014
3046.948242	-80.850212
3049.639893	-79.567329
3052.331543	-78.385918
3055.023193	-79.870506
3057.714844	-76.198822
3060.406494	-71.634705
3063.098145	-73.442917
3065.789795	-73.743874
3068.481445	-73.004982
3071.173096	-73.270477
3073.864746	-78.876770
3076.556396	-90.872482
3079.248047	-77.954826
3081.939697	-74.513321
3084.631348	-78.012978
3087.322998	-77.341522
3090.014648	-74.136292
3092.706299	-74.482864
3095.397949	-75.553566
3098.089600	-76.299446
3100.781250	-80.414558
3103.472900	-80.051819
3106.164551	-73.062881
3108.856201	-72.410583
3111.547852	-82.213196
3114.239502	-78.339935
3116.931152	-79.178406
3119.622803	-82.909500
3122.314453	-79.901993
3125.006104	-85.452515
3127.697754	-81.343933
3130.389404	-79.169029
3133.081055	-81.461945
3135.772705	-78.450874
3138.464355	-78.662239
3141.156006	-84.740334
3143.847656	-89.776039
3146.539307	-82.382713
3149.230957	-78.306404
3151.922607	-74.488388
3154.614258	-73.867729
3157.305908	-73.383171
3159.997559	-71.845413
3162.689209	-73.376198
3165.380859	-78.728302
3168.072510	-78.278648
3170.764160	-77.188240
3173.455811	-77.307220
3176.147461	-81.836487
3178.839111	-79.435989
3181.530762	-77.560371
3184.222412	-77.321327
3186.914062	-82.762589
3189.605713	-82.150658
3192.297363	-79.637222
3194.989014	-81.960281
3197.680664	-96.038818
3200.372314	-85.706223
3203.063965	-85.187294
